"wips_variable","ow_variable","janitor_variables","renamed_variables","section","no_total","renamed_variables_lower"
"ApplicantLegalName","Grantee Name","applicant_legal_name","grantee",,"applicantlegalname","grantee"
"GrantNumber","Grant Number","grant_number","grant_no",,"grantnumber","grant_no"
"TotalParticipantsServedTotal","Total Participants Served","total_participants_served_total","tps_PS","Total Participants Served","totalparticipantsserved","tps_ps"
"BeganReceivingEducationJobTrainingActivitiesTotal","Participants Began Ed/Job Training","began_receiving_education_job_training_activities_total","train_BT","Began Ed/Job Training","beganreceivingeducationjobtrainingactivities","train_bt"
"NumberCompletedEducationJobTrainingProgramActivitiesTotal","Participants Completed Training","number_completed_education_job_training_program_activities_total","train_CT","Completed Training","numbercompletededucationjobtrainingprogramactivities","train_ct"
"CompletedEducationJobTrainingProgram","Total Participants Completed and Obtained Credential","completed_edu_job_training_program_activitie_obtained_credential_total","train_cred_COC","Completed and Obtained Credential","completededucationjobtrainingprogram","train_cred_coc"
"EnteredUnsubsidizedEmploymentTotal","Entered Employment","entered_unsubsidized_employment_total","empl_EE","Entered Employment","enteredunsubsidizedemployment","empl_ee"
"IncumbentWorkersThatAdvancedIntoNewPositionTotal","Incumbent Workers Advanced","incumbent_workers_that_advanced_into_new_position_total","total_IWA","Incumbent Workers Advanced","incumbentworkersthatadvancedintonewposition","total_iwa"
"EnteredUnsubsidizedTrainingRelatedEmploymentTotal","Entered Training Related Employment","entered_unsubsidized_training_related_employment_total","total_train_TC","Total Credentials","enteredunsubsidizedtrainingrelatedemployment","total_train_tc"
"TotalNumberOfCredentialsReceivedTotal","Total Credentials","total_number_of_credentials_received_total","total_cred_ETRE","Entered Training-Related Employment","totalnumberofcredentialsreceived","total_cred_etre"
